Customer_ID,Marketing_Channel,Acquisition_Cost,Revenue_First_30_Days,Customer_Lifetime_Value,Churned,Signup_Date,Region,Device,Age,Industry,Is_Repeat_Buyer,Engagement_Score
CUST00001,Organic Search,14.97,253.09,764.77,0,2024-11-19,Northeast,Mobile,40,Healthcare,1,82.85
CUST00002,Facebook Ads,39.89,225.36,639.26,0,2025-01-18,Midwest,Mobile,45,Logistics,0,46.06
CUST00003,Organic Search,5.0,233.74,642.86,0,2025-02-25,International,Desktop,46,Logistics,1,46.14
CUST00004,Email Campaign,5.0,215.71,409.2,0,2025-03-06,West,Mobile,24,Logistics,0,38.82
CUST00005,Facebook Ads,54.75,345.64,397.33,0,2024-11-24,Midwest,Mobile,23,Logistics,1,76.79
CUST00006,Email Campaign,5.0,191.91,446.64,1,2025-01-17,Midwest,Desktop,57,Construction,0,29.92
CUST00007,Email Campaign,10.53,276.21,532.3,0,2024-11-28,West,Mobile,39,Consulting,0,39.1
CUST00008,LinkedIn,87.38,328.57,788.44,0,2024-11-03,Northeast,Desktop,39,Retail,1,55.48
CUST00009,Organic Search,14.61,264.3,549.0,0,2025-01-02,West,Mobile,22,Retail,1,70.82
CUST00010,Facebook Ads,41.24,181.66,663.63,1,2025-01-27,South,Mobile,26,Manufacturing,1,16.4
CUST00011,Google Ads,76.62,312.06,733.18,0,2025-01-26,South,Desktop,44,Consulting,1,77.47
CUST00012,LinkedIn,89.5,406.33,845.79,0,2025-03-21,Northeast,Desktop,35,Consulting,0,34.74
CUST00013,Google Ads,60.66,339.21,688.51,0,2024-12-02,West,Mobile,53,Healthcare,1,64.99
CUST00014,Organic Search,10.92,160.62,678.03,0,2024-11-24,Pacific,Desktop,64,Healthcare,1,65.36
CUST00015,Email Campaign,16.36,230.4,570.5,0,2025-04-14,Midwest,Desktop,27,Logistics,1,65.41
CUST00016,Organic Search,5.85,190.06,665.59,0,2024-12-31,Midwest,Desktop,46,Logistics,1,71.26
CUST00017,Facebook Ads,57.43,231.61,727.37,1,2024-12-26,Northeast,Mobile,60,Manufacturing,0,25.62
CUST00018,Organic Search,5.0,407.18,590.37,0,2024-12-11,South,Mobile,53,Healthcare,1,73.72
CUST00019,Facebook Ads,50.57,320.2,598.14,0,2025-02-25,International,Mobile,38,Construction,1,34.9
CUST00020,Organic Search,9.36,277.25,691.99,0,2025-01-03,Northeast,Desktop,23,Retail,1,56.38
CUST00021,Email Campaign,34.65,103.0,423.74,0,2025-04-26,International,Mobile,38,Manufacturing,0,62.53
CUST00022,Referral,34.03,209.91,958.69,0,2025-03-01,South,Tablet,54,Construction,1,92.86
CUST00023,Organic Search,29.34,264.05,658.35,0,2024-11-23,Pacific,Mobile,47,Healthcare,1,72.86
CUST00024,Google Ads,76.49,238.86,803.63,0,2024-11-05,Midwest,Desktop,39,Healthcare,0,46.28
CUST00025,Referral,31.69,323.67,920.57,0,2025-02-21,South,Mobile,28,Consulting,1,38.35
CUST00026,Organic Search,12.27,325.36,539.25,0,2025-03-15,South,Mobile,33,Manufacturing,1,62.77
CUST00027,Referral,18.53,289.03,996.48,0,2025-01-26,International,Mobile,41,Healthcare,0,44.03
CUST00028,Facebook Ads,66.18,310.85,622.63,0,2025-05-04,Midwest,Desktop,46,Consulting,1,72.71
CUST00029,LinkedIn,98.66,343.69,680.87,1,2025-02-22,International,Mobile,54,Consulting,0,39.85
CUST00030,Referral,15.37,224.38,986.72,0,2024-11-18,South,Mobile,33,Retail,1,74.38
CUST00031,Email Campaign,5.0,236.02,531.59,0,2025-02-15,West,Mobile,29,Logistics,1,60.89
CUST00032,Google Ads,70.13,372.68,723.53,0,2025-01-31,Midwest,Desktop,40,Construction,1,100.0
CUST00033,Referral,19.88,289.53,960.7,0,2025-02-17,Pacific,Mobile,58,Manufacturing,0,54.77
CUST00034,Email Campaign,19.73,196.36,415.32,1,2025-04-11,West,Mobile,24,Consulting,0,7.28
CUST00035,Google Ads,77.1,304.62,813.01,0,2025-04-04,International,Desktop,53,Construction,1,86.44
CUST00036,Email Campaign,5.0,162.46,397.45,1,2025-03-30,South,Desktop,30,Healthcare,1,12.25
CUST00037,Google Ads,56.22,253.11,801.5,1,2025-02-06,South,Mobile,34,Manufacturing,0,37.71
CUST00038,Google Ads,64.44,293.61,593.94,1,2025-01-04,International,Desktop,46,Healthcare,0,60.01
CUST00039,Email Campaign,10.87,229.78,300.85,1,2025-01-10,Midwest,Mobile,26,Logistics,0,36.39
CUST00040,Organic Search,6.09,281.9,866.38,0,2025-01-11,South,Desktop,37,Consulting,0,48.91
CUST00041,Email Campaign,5.0,209.32,433.82,0,2025-01-10,Midwest,Mobile,47,Retail,1,72.79
CUST00042,Email Campaign,7.28,283.07,466.58,0,2025-03-20,Pacific,Tablet,46,Consulting,1,55.23
CUST00043,LinkedIn,83.77,402.57,667.32,0,2024-12-19,West,Mobile,37,Healthcare,1,87.66
CUST00044,LinkedIn,76.61,279.24,869.91,0,2025-04-07,Midwest,Mobile,51,Consulting,1,69.0
CUST00045,Google Ads,66.76,326.23,1068.7,1,2025-04-16,Northeast,Desktop,37,Logistics,0,31.26
CUST00046,Email Campaign,12.98,203.04,564.72,0,2025-02-10,Midwest,Mobile,56,Manufacturing,1,61.89
CUST00047,Email Campaign,36.33,102.4,484.82,1,2024-12-28,Midwest,Mobile,31,Consulting,0,38.82
CUST00048,Referral,11.17,245.03,858.15,0,2024-12-28,Midwest,Tablet,44,Construction,1,58.33
CUST00049,Organic Search,18.85,236.77,637.78,0,2025-03-12,Midwest,Desktop,32,Manufacturing,0,54.67
CUST00050,Organic Search,18.13,291.48,617.1,1,2025-03-21,International,Mobile,56,Consulting,1,21.6
